"id","class_id","instructor","section_id","section_type","meeting_time","start_time","end_time","location","course_id","day"
4879,82554,"Sergio Espinosa","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",154,"TBA"
4880,82555,"Carol A Jessup","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",155,"TBA"
4881,82556,"Rogene R Howard","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",155,"TBA"
4882,82557,"Teresa A Sanchez","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",155,"TBA"
4883,82558,"Timothy J Ishii","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",155,"TBA"
4884,82559,"Laura B Cameron","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",155,"TBA"
4885,86566,"Michael Morrison","006                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",155,"TBA"
4886,82560,"Kenneth Krause","007                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",155,"TBA"
4887,82561,"Christopher McGuire","008                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",155,"TBA"
4888,82562,"Carol A Jessup","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",156,"TBA"
4889,82563,"Rogene R Howard","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",156,"TBA"
4890,82564,"Teresa A Sanchez","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",156,"TBA"
4891,82565,"Timothy J Ishii","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",156,"TBA"
4892,82567,"Laura B Cameron","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",156,"TBA"
4893,82566,"Kenneth Krause","007                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",156,"TBA"
4894,82568,"Christopher McGuire","008                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",156,"TBA"
4895,82569,"Rickey G Bogard","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",157,"TBA"
4896,82570,"Gerald E Wood","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",157,"TBA"
4897,82571,"Dennis L Bubert","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",157,"TBA"
4898,82572,"Edward W Jones","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",157,"TBA"
4899,82573,"Kenneth M Edwards","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",157,"TBA"
